school_year,year_start,traditional,magnets_and_choice,vo_tech,total,magnets_and_choice_pct,basis
1986-87,1986,24282,0,517,24799,0.0,pre-Sheff
1987-88,1987,25365,0,498,25863,0.0,pre-Sheff
1988-89,1988,24741,0,506,25247,0.0,pre-Sheff
1989-90,1989,25063,0,477,25540,0.0,pre-Sheff
1990-91,1990,25811,0,483,26294,0.0,pre-Sheff
1991-92,1991,26113,0,529,26642,0.0,pre-Sheff
1992-93,1992,25769,0,511,26280,0.0,pre-Sheff
1993-94,1993,25683,0,505,26188,0.0,pre-Sheff
1994-95,1994,24477,0,495,24972,0.0,pre-Sheff
1995-96,1995,23724,0,500,24224,0.0,pre-Sheff
1996-97,1996,23791,0,538,24329,0.0,pre-Sheff
1997-98,1997,23536,0,509,24045,0.0,pre-Sheff
1998-99,1998,22366,116,544,23026,0.5,pre-Sheff
1999-00,1999,22601,0,565,23166,0.0,pre-Sheff
2000-01,2000,22659,0,608,23267,0.0,pre-Sheff
2001-02,2001,22370,0,632,23002,0.0,pre-Sheff
2002-03,2002,21362,2445,642,24449,10.0,interpolated
2003-04,2003,20608,2830,646,24084,11.8,interpolated
2004-05,2004,19814,3181,566,23561,13.5,reconstructed
2005-06,2005,18636,3921,510,23067,17.0,reconstructed
2006-07,2006,18147,3035,495,21677,14.0,reconstructed
2007-08,2007,17140,2245,486,19871,11.3,reconstructed
2008-09,2008,17219,3403,514,21136,16.1,reconstructed
2009-10,2009,16705,5789,571,23065,25.1,reconstructed
2010-11,2010,15639,4319,607,20565,21.0,reconstructed
2011-12,2011,14427,6515,631,21573,30.2,reconstructed
2012-13,2012,14579,7776,651,23006,33.8,reconstructed
2013-14,2013,13731,9884,670,24285,40.7,reconstructed
2014-15,2014,12621,11696,675,24992,46.8,reconstructed
2015-16,2015,11822,9596,642,22060,43.5,reconstructed
2016-17,2016,11096,11533,630,23259,49.6,measured
2017-18,2017,10978,11490,661,23129,49.7,measured
2018-19,2018,10032,11858,606,22496,52.7,measured
2019-20,2019,9370,12298,618,22286,55.2,measured
2020-21,2020,8457,12629,631,21717,58.2,measured
2021-22,2021,8363,12291,612,21266,57.8,measured
2022-23,2022,8231,12445,594,21270,58.5,measured
2023-24,2023,7951,12780,575,21306,60.0,measured
2024-25,2024,7579,13002,610,21191,61.4,measured
