School,Year,Ours(CCD),EdSight,Diff
BARNARD-BROWN SCHOOL,2006-07,387.0,388.0,-1.0
BARNARD-BROWN SCHOOL,2007-08,333.0,333.0,0.0
Batchelder School,2006-07,510.0,510.0,0.0
Batchelder School,2007-08,578.0,578.0,0.0
Batchelder School,2008-09,546.0,546.0,0.0
Batchelder School,2009-10,568.0,568.0,0.0
Batchelder School,2010-11,589.0,590.0,-1.0
Batchelder School,2011-12,565.0,565.0,0.0
Batchelder School,2012-13,521.0,520.0,1.0
Batchelder School,2013-14,528.0,527.0,1.0
Batchelder School,2014-15,466.0,466.0,0.0
Batchelder School,2015-16,478.0,478.0,0.0
Batchelder School,2016-17,433.0,433.0,0.0
Batchelder School,2017-18,397.0,397.0,0.0
Betances Learning Lab Magnet School,2006-07,395.0,399.0,-4.0
Betances Learning Lab Magnet School,2007-08,403.0,403.0,0.0
Betances Learning Lab Magnet School,2008-09,439.0,439.0,0.0
Betances Learning Lab Magnet School,2009-10,345.0,345.0,0.0
Betances Learning Lab Magnet School,2010-11,311.0,311.0,0.0
Betances Learning Lab Magnet School,2011-12,315.0,315.0,0.0
Betances Learning Lab Magnet School,2012-13,323.0,323.0,0.0
Betances Learning Lab Magnet School,2013-14,278.0,278.0,0.0
Betances Learning Lab Magnet School,2014-15,288.0,288.0,0.0
Betances Learning Lab Magnet School,2015-16,279.0,279.0,0.0
Betances Learning Lab Magnet School,2016-17,300.0,300.0,0.0
Betances Learning Lab Magnet School,2017-18,384.0,384.0,0.0
Betances Learning Lab Magnet School,2018-19,391.0,391.0,0.0
Betances Learning Lab Magnet School,2019-20,411.0,411.0,0.0
Betances Learning Lab Magnet School,2020-21,438.0,438.0,0.0
Betances Learning Lab Magnet School,2021-22,394.0,394.0,0.0
Betances Learning Lab Magnet School,2022-23,394.0,394.0,0.0
Betances Learning Lab Magnet School,2023-24,411.0,411.0,0.0
Betances Learning Lab Magnet School,2024-25,398.0,398.0,0.0
Bulkeley High School Lower School,2006-07,1445.0,1440.0,5.0
Bulkeley High School Lower School,2007-08,1484.0,1484.0,0.0
Bulkeley High School Lower School,2008-09,1387.0,1381.0,6.0
Bulkeley High School Lower School,2009-10,767.0,766.0,1.0
Bulkeley High School Lower School,2010-11,675.0,670.0,5.0
Bulkeley High School Lower School,2011-12,634.0,625.0,9.0
Bulkeley High School Lower School,2012-13,586.0,586.0,0.0
Bulkeley High School Lower School,2013-14,493.0,493.0,0.0
Bulkeley High School Lower School,2014-15,489.0,489.0,0.0
Bulkeley High School Lower School,2015-16,412.0,412.0,0.0
Burns Latino Studies Academy,2006-07,511.0,519.0,-8.0
Burns Latino Studies Academy,2007-08,533.0,533.0,0.0
Burns Latino Studies Academy,2008-09,534.0,534.0,0.0
Burns Latino Studies Academy,2009-10,584.0,584.0,0.0
Burns Latino Studies Academy,2010-11,666.0,664.0,2.0
Burns Latino Studies Academy,2011-12,598.0,596.0,2.0
Burns Latino Studies Academy,2012-13,598.0,598.0,0.0
Burns Latino Studies Academy,2013-14,541.0,541.0,0.0
Burns Latino Studies Academy,2014-15,581.0,581.0,0.0
Burns Latino Studies Academy,2015-16,520.0,520.0,0.0
Burns Latino Studies Academy,2016-17,496.0,496.0,0.0
Burns Latino Studies Academy,2017-18,439.0,439.0,0.0
Burns Latino Studies Academy,2018-19,467.0,467.0,0.0
Burns Latino Studies Academy,2019-20,272.0,272.0,0.0
Burns Latino Studies Academy,2020-21,241.0,241.0,0.0
Burns Latino Studies Academy,2021-22,232.0,232.0,0.0
Burns Latino Studies Academy,2022-23,224.0,224.0,0.0
Burns Latino Studies Academy,2023-24,228.0,228.0,0.0
Burns Latino Studies Academy,2024-25,251.0,251.0,0.0
Burr Middle School,2006-07,513.0,511.0,2.0
Burr Middle School,2007-08,537.0,537.0,0.0
Burr Middle School,2008-09,520.0,520.0,0.0
Burr Middle School,2009-10,625.0,625.0,0.0
Burr Middle School,2010-11,707.0,706.0,1.0
Burr Middle School,2011-12,810.0,807.0,3.0
Burr Middle School,2012-13,729.0,729.0,0.0
Burr Middle School,2013-14,708.0,708.0,0.0
Burr Middle School,2014-15,685.0,684.0,1.0
Burr Middle School,2015-16,590.0,590.0,0.0
Burr Middle School,2016-17,616.0,616.0,0.0
Burr Middle School,2017-18,542.0,542.0,0.0
Burr Middle School,2018-19,546.0,546.0,0.0
Burr Middle School,2019-20,579.0,579.0,0.0
Burr Middle School,2020-21,324.0,324.0,0.0
Burr Middle School,2021-22,308.0,308.0,0.0
Burr Middle School,2022-23,277.0,277.0,0.0
Burr Middle School,2023-24,307.0,307.0,0.0
