school_year,year_start,traditional,magnets_and_choice,vo_tech,total,magnets_and_choice_pct,basis
1986-87,1986,24282,0,517,24799,0.0,pre-Sheff
1987-88,1987,25365,0,498,25863,0.0,pre-Sheff
1988-89,1988,24741,0,506,25247,0.0,pre-Sheff
1989-90,1989,25063,0,477,25540,0.0,pre-Sheff
1990-91,1990,25811,0,483,26294,0.0,pre-Sheff
1991-92,1991,26113,0,529,26642,0.0,pre-Sheff
1992-93,1992,25769,0,511,26280,0.0,pre-Sheff
1993-94,1993,25683,0,505,26188,0.0,pre-Sheff
1994-95,1994,24477,0,495,24972,0.0,pre-Sheff
1995-96,1995,23724,0,500,24224,0.0,pre-Sheff
1996-97,1996,23791,0,538,24329,0.0,pre-Sheff
1997-98,1997,23536,0,509,24045,0.0,pre-Sheff
1998-99,1998,22366,116,544,23026,0.5,pre-Sheff
1999-00,1999,22601,0,565,23166,0.0,pre-Sheff
2000-01,2000,22659,0,608,23267,0.0,pre-Sheff
2001-02,2001,22370,0,632,23002,0.0,pre-Sheff
2002-03,2002,21362,2445,642,24449,10.0,reconstructed
2003-04,2003,20608,2538,646,23792,10.7,reconstructed
2004-05,2004,19814,2605,566,22985,11.3,reconstructed
2005-06,2005,18636,2611,510,21757,12.0,reconstructed
2006-07,2006,18147,1844,495,20486,9.0,reconstructed
2007-08,2007,17140,2790,486,20416,13.7,reconstructed
2008-09,2008,17219,3981,514,21714,18.3,reconstructed
2009-10,2009,16705,5160,571,22436,23.0,reconstructed
2010-11,2010,15639,6214,607,22460,27.7,reconstructed
2011-12,2011,14427,7195,631,22253,32.3,reconstructed
2012-13,2012,14579,8945,651,24175,37.0,reconstructed
2013-14,2013,13731,9904,670,24305,40.7,reconstructed
2014-15,2014,12621,10661,675,23957,44.5,reconstructed
2015-16,2015,11822,10406,642,22870,45.5,reconstructed
2016-17,2016,11096,11533,630,23259,49.6,measured
2017-18,2017,10978,11490,661,23129,49.7,measured
2018-19,2018,10032,11858,606,22496,52.7,measured
2019-20,2019,9370,12298,618,22286,55.2,measured
2020-21,2020,8457,12629,631,21717,58.2,measured
2021-22,2021,8363,12291,612,21266,57.8,measured
2022-23,2022,8231,12445,594,21270,58.5,measured
2023-24,2023,7951,12780,575,21306,60.0,measured
2024-25,2024,7579,13002,610,21191,61.4,measured
