ncessch,school_name,school_year,year_start,enrollment,is_interpolated,include
090192001193,Alternative Education Learning,1986-87,1986,607.0,False,False
090192001193,Alternative Education Learning,1987-88,1987,767.0,False,False
090192001193,Alternative Education Learning,1988-89,1988,672.0,False,False
090192001193,Alternative Education Learning,1989-90,1989,807.0,False,False
090192001193,Alternative Education Learning,1990-91,1990,592.0,False,False
090192001193,Alternative Education Learning,1991-92,1991,423.0,False,False
090192001193,Alternative Education Learning,1992-93,1992,443.0,False,False
090192001193,Alternative Education Learning,1993-94,1993,442.0,False,False
090192001193,Alternative Education Learning,1994-95,1994,119.0,False,False
090192001193,Alternative Education Learning,1995-96,1995,164.0,True,False
090192001193,Alternative Education Learning,1996-97,1996,16.0,False,False
090192001193,Alternative Education Learning,1997-98,1997,77.0,False,False
090192001193,Alternative Education Learning,1998-99,1998,,False,False
090192001193,Alternative Education Learning,1999-00,1999,,False,False
090192001193,Alternative Education Learning,2000-01,2000,,False,False
090192001193,Alternative Education Learning,2001-02,2001,,False,False
090192001193,Alternative Education Learning,2002-03,2002,,False,False
090192001193,Alternative Education Learning,2003-04,2003,,False,False
090192001193,Alternative Education Learning,2004-05,2004,,False,False
090192001193,Alternative Education Learning,2005-06,2005,,False,False
090192001193,Alternative Education Learning,2006-07,2006,,False,False
090192001193,Alternative Education Learning,2007-08,2007,,False,False
090192001193,Alternative Education Learning,2008-09,2008,,False,False
090192001193,Alternative Education Learning,2009-10,2009,,False,False
090192001193,Alternative Education Learning,2010-11,2010,,False,False
090192001193,Alternative Education Learning,2011-12,2011,,False,False
090192001193,Alternative Education Learning,2012-13,2012,,False,False
090192001193,Alternative Education Learning,2013-14,2013,,False,False
090192001193,Alternative Education Learning,2014-15,2014,,False,False
090192001193,Alternative Education Learning,2015-16,2015,,False,False
090192001193,Alternative Education Learning,2016-17,2016,,False,False
090192001193,Alternative Education Learning,2017-18,2017,,False,False
090192001193,Alternative Education Learning,2018-19,2018,,False,False
090192001193,Alternative Education Learning,2019-20,2019,,False,False
090192001193,Alternative Education Learning,2020-21,2020,,False,False
090192001193,Alternative Education Learning,2021-22,2021,,False,False
090192001193,Alternative Education Learning,2022-23,2022,,False,False
090192001193,Alternative Education Learning,2023-24,2023,,False,False
090192001193,Alternative Education Learning,2024-25,2024,,False,False
090192000353,Barbour School,1986-87,1986,287.0,False,False
090192000353,Barbour School,1987-88,1987,317.0,False,False
090192000353,Barbour School,1988-89,1988,287.0,False,False
090192000353,Barbour School,1989-90,1989,273.0,False,False
090192000353,Barbour School,1990-91,1990,265.0,False,False
090192000353,Barbour School,1991-92,1991,256.0,False,False
090192000353,Barbour School,1992-93,1992,256.0,False,False
090192000353,Barbour School,1993-94,1993,242.0,False,False
090192000353,Barbour School,1994-95,1994,237.0,False,False
090192000353,Barbour School,1995-96,1995,221.0,False,False
090192000353,Barbour School,1996-97,1996,225.0,False,False
090192000353,Barbour School,1997-98,1997,205.0,False,False
090192000353,Barbour School,1998-99,1998,211.0,False,False
090192000353,Barbour School,1999-00,1999,,False,False
090192000353,Barbour School,2000-01,2000,,False,False
090192000353,Barbour School,2001-02,2001,,False,False
090192000353,Barbour School,2002-03,2002,,False,False
090192000353,Barbour School,2003-04,2003,,False,False
090192000353,Barbour School,2004-05,2004,,False,False
090192000353,Barbour School,2005-06,2005,,False,False
090192000353,Barbour School,2006-07,2006,,False,False
090192000353,Barbour School,2007-08,2007,,False,False
090192000353,Barbour School,2008-09,2008,,False,False
090192000353,Barbour School,2009-10,2009,,False,False
090192000353,Barbour School,2010-11,2010,,False,False
090192000353,Barbour School,2011-12,2011,,False,False
090192000353,Barbour School,2012-13,2012,,False,False
090192000353,Barbour School,2013-14,2013,,False,False
090192000353,Barbour School,2014-15,2014,,False,False
090192000353,Barbour School,2015-16,2015,,False,False
090192000353,Barbour School,2016-17,2016,,False,False
090192000353,Barbour School,2017-18,2017,,False,False
090192000353,Barbour School,2018-19,2018,,False,False
090192000353,Barbour School,2019-20,2019,,False,False
090192000353,Barbour School,2020-21,2020,,False,False
090192000353,Barbour School,2021-22,2021,,False,False
090192000353,Barbour School,2022-23,2022,,False,False
090192000353,Barbour School,2023-24,2023,,False,False
090192000353,Barbour School,2024-25,2024,,False,False
090192000354,Barnard-Brown School,1986-87,1986,680.0,False,False
090192000354,Barnard-Brown School,1987-88,1987,693.0,False,False
090192000354,Barnard-Brown School,1988-89,1988,632.0,False,False
090192000354,Barnard-Brown School,1989-90,1989,596.0,False,False
090192000354,Barnard-Brown School,1990-91,1990,593.0,False,False
090192000354,Barnard-Brown School,1991-92,1991,610.0,False,False
090192000354,Barnard-Brown School,1992-93,1992,607.0,False,False
090192000354,Barnard-Brown School,1993-94,1993,591.0,False,False
090192000354,Barnard-Brown School,1994-95,1994,564.0,False,False
090192000354,Barnard-Brown School,1995-96,1995,604.0,False,False
090192000354,Barnard-Brown School,1996-97,1996,527.0,False,False
090192000354,Barnard-Brown School,1997-98,1997,513.0,False,False
090192000354,Barnard-Brown School,1998-99,1998,452.0,False,False
090192000354,Barnard-Brown School,1999-00,1999,461.0,False,False
090192000354,Barnard-Brown School,2000-01,2000,442.0,False,False
090192000354,Barnard-Brown School,2001-02,2001,403.0,False,False
090192000354,Barnard-Brown School,2002-03,2002,481.0,False,False
090192000354,Barnard-Brown School,2003-04,2003,480.0,False,False
090192000354,Barnard-Brown School,2004-05,2004,457.0,False,False
090192000354,Barnard-Brown School,2005-06,2005,504.0,False,False
090192000354,Barnard-Brown School,2006-07,2006,387.0,False,False
090192000354,Barnard-Brown School,2007-08,2007,333.0,False,False
090192000354,Barnard-Brown School,2008-09,2008,,False,False
090192000354,Barnard-Brown School,2009-10,2009,,False,False
090192000354,Barnard-Brown School,2010-11,2010,,False,False
090192000354,Barnard-Brown School,2011-12,2011,,False,False
090192000354,Barnard-Brown School,2012-13,2012,,False,False
090192000354,Barnard-Brown School,2013-14,2013,,False,False
090192000354,Barnard-Brown School,2014-15,2014,,False,False
090192000354,Barnard-Brown School,2015-16,2015,,False,False
090192000354,Barnard-Brown School,2016-17,2016,,False,False
090192000354,Barnard-Brown School,2017-18,2017,,False,False
090192000354,Barnard-Brown School,2018-19,2018,,False,False
090192000354,Barnard-Brown School,2019-20,2019,,False,False
090192000354,Barnard-Brown School,2020-21,2020,,False,False
090192000354,Barnard-Brown School,2021-22,2021,,False,False
090192000354,Barnard-Brown School,2022-23,2022,,False,False
090192000354,Barnard-Brown School,2023-24,2023,,False,False
090192000354,Barnard-Brown School,2024-25,2024,,False,False
090192000355,Batchelder School,1986-87,1986,493.0,False,True
090192000355,Batchelder School,1987-88,1987,550.0,False,True
090192000355,Batchelder School,1988-89,1988,530.0,False,True
090192000355,Batchelder School,1989-90,1989,544.0,False,True
090192000355,Batchelder School,1990-91,1990,573.0,False,True
090192000355,Batchelder School,1991-92,1991,546.0,False,True
090192000355,Batchelder School,1992-93,1992,533.0,False,True
090192000355,Batchelder School,1993-94,1993,494.0,False,True
090192000355,Batchelder School,1994-95,1994,515.0,False,True
090192000355,Batchelder School,1995-96,1995,511.0,False,True
090192000355,Batchelder School,1996-97,1996,523.0,False,True
090192000355,Batchelder School,1997-98,1997,570.0,False,True
090192000355,Batchelder School,1998-99,1998,571.0,False,True
090192000355,Batchelder School,1999-00,1999,564.0,False,True
090192000355,Batchelder School,2000-01,2000,557.0,False,True
090192000355,Batchelder School,2001-02,2001,572.0,False,True
090192000355,Batchelder School,2002-03,2002,581.0,False,True
090192000355,Batchelder School,2003-04,2003,549.0,False,True
090192000355,Batchelder School,2004-05,2004,554.0,False,True
090192000355,Batchelder School,2005-06,2005,586.0,False,True
090192000355,Batchelder School,2006-07,2006,510.0,False,True
090192000355,Batchelder School,2007-08,2007,578.0,False,True
090192000355,Batchelder School,2008-09,2008,546.0,False,True
090192000355,Batchelder School,2009-10,2009,568.0,False,True
090192000355,Batchelder School,2010-11,2010,589.0,False,True
090192000355,Batchelder School,2011-12,2011,565.0,False,True
090192000355,Batchelder School,2012-13,2012,521.0,False,True
090192000355,Batchelder School,2013-14,2013,528.0,False,True
090192000355,Batchelder School,2014-15,2014,466.0,False,True
090192000355,Batchelder School,2015-16,2015,478.0,False,True
090192000355,Batchelder School,2016-17,2016,433.0,False,True
090192000355,Batchelder School,2017-18,2017,397.0,False,True
090192000355,Batchelder School,2018-19,2018,,False,True
090192000355,Batchelder School,2019-20,2019,,False,True
090192000355,Batchelder School,2020-21,2020,,False,True
090192000355,Batchelder School,2021-22,2021,,False,True
090192000355,Batchelder School,2022-23,2022,,False,True
090192000355,Batchelder School,2023-24,2023,,False,True
090192000355,Batchelder School,2024-25,2024,,False,True
090192001192,Betances Learning Lab Magnet School,1986-87,1986,498.0,False,True
090192001192,Betances Learning Lab Magnet School,1987-88,1987,551.0,False,True
