ncessch,school_name,school_year,year_start,enrollment,is_interpolated
090192000355,Batchelder School,1986-87,1986,493.0,False
090192000355,Batchelder School,1987-88,1987,550.0,False
090192000355,Batchelder School,1988-89,1988,530.0,False
090192000355,Batchelder School,1989-90,1989,544.0,False
090192000355,Batchelder School,1990-91,1990,573.0,False
090192000355,Batchelder School,1991-92,1991,546.0,False
090192000355,Batchelder School,1992-93,1992,533.0,False
090192000355,Batchelder School,1993-94,1993,494.0,False
090192000355,Batchelder School,1994-95,1994,515.0,False
090192000355,Batchelder School,1995-96,1995,511.0,False
090192000355,Batchelder School,1996-97,1996,523.0,False
090192000355,Batchelder School,1997-98,1997,570.0,False
090192000355,Batchelder School,1998-99,1998,571.0,False
090192000355,Batchelder School,1999-00,1999,564.0,False
090192000355,Batchelder School,2000-01,2000,557.0,False
090192000355,Batchelder School,2001-02,2001,572.0,False
090192000355,Batchelder School,2002-03,2002,581.0,False
090192000355,Batchelder School,2003-04,2003,549.0,False
090192000355,Batchelder School,2004-05,2004,554.0,False
090192000355,Batchelder School,2005-06,2005,586.0,False
090192000355,Batchelder School,2006-07,2006,510.0,False
090192000355,Batchelder School,2007-08,2007,578.0,False
090192000355,Batchelder School,2008-09,2008,546.0,False
090192000355,Batchelder School,2009-10,2009,568.0,False
090192000355,Batchelder School,2010-11,2010,589.0,False
090192000355,Batchelder School,2011-12,2011,565.0,False
090192000355,Batchelder School,2012-13,2012,521.0,False
090192000355,Batchelder School,2013-14,2013,528.0,False
090192000355,Batchelder School,2014-15,2014,466.0,False
090192000355,Batchelder School,2015-16,2015,478.0,False
090192000355,Batchelder School,2016-17,2016,433.0,False
090192000355,Batchelder School,2017-18,2017,397.0,False
090192000355,Batchelder School,2018-19,2018,,False
090192000355,Batchelder School,2019-20,2019,,False
090192000355,Batchelder School,2020-21,2020,,False
090192000355,Batchelder School,2021-22,2021,,False
090192000355,Batchelder School,2022-23,2022,,False
090192000355,Batchelder School,2023-24,2023,,False
090192000355,Batchelder School,2024-25,2024,,False
090192001192,Betances Learning Lab Magnet School,1986-87,1986,498.0,False
090192001192,Betances Learning Lab Magnet School,1987-88,1987,551.0,False
090192001192,Betances Learning Lab Magnet School,1988-89,1988,535.0,False
090192001192,Betances Learning Lab Magnet School,1989-90,1989,567.0,False
090192001192,Betances Learning Lab Magnet School,1990-91,1990,583.0,False
090192001192,Betances Learning Lab Magnet School,1991-92,1991,581.0,False
090192001192,Betances Learning Lab Magnet School,1992-93,1992,507.0,False
090192001192,Betances Learning Lab Magnet School,1993-94,1993,527.0,False
090192001192,Betances Learning Lab Magnet School,1994-95,1994,454.0,False
090192001192,Betances Learning Lab Magnet School,1995-96,1995,423.0,False
090192001192,Betances Learning Lab Magnet School,1996-97,1996,426.0,False
090192001192,Betances Learning Lab Magnet School,1997-98,1997,473.0,False
090192001192,Betances Learning Lab Magnet School,1998-99,1998,434.0,False
090192001192,Betances Learning Lab Magnet School,1999-00,1999,412.0,False
090192001192,Betances Learning Lab Magnet School,2000-01,2000,389.0,False
090192001192,Betances Learning Lab Magnet School,2001-02,2001,376.0,False
090192001192,Betances Learning Lab Magnet School,2002-03,2002,409.0,False
090192001192,Betances Learning Lab Magnet School,2003-04,2003,431.0,False
090192001192,Betances Learning Lab Magnet School,2004-05,2004,441.0,False
090192001192,Betances Learning Lab Magnet School,2005-06,2005,438.0,False
090192001192,Betances Learning Lab Magnet School,2006-07,2006,395.0,False
090192001192,Betances Learning Lab Magnet School,2007-08,2007,403.0,False
090192001192,Betances Learning Lab Magnet School,2008-09,2008,439.0,False
090192001192,Betances Learning Lab Magnet School,2009-10,2009,345.0,False
090192001192,Betances Learning Lab Magnet School,2010-11,2010,311.0,False
090192001192,Betances Learning Lab Magnet School,2011-12,2011,315.0,False
090192001192,Betances Learning Lab Magnet School,2012-13,2012,323.0,False
090192001192,Betances Learning Lab Magnet School,2013-14,2013,278.0,False
090192001192,Betances Learning Lab Magnet School,2014-15,2014,288.0,False
