school_year,Batchelder School,Betances Learning Lab Magnet School,Bulkeley High School Lower School,Burns Latino Studies Academy,Burr Middle School,Clark School,Dwight-Bellizzi Dual Language Academy,Environmental Sciences Magnet At Hooker School,Kennelly School,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,M. D. Fox School,M. L. King Jr. Middle School,Mcdonough Middle School,Milner Middle School,Naylor/Ccsu Leadership Academy,Parkville Community School,Rawson School,Sanchez School,Sand School,Simpson-Waverly School,Stem Magnet At Annie Fisher School,Webster Micro Society Magnet School,West Middle School,Wish Museum School
1986-87,493.0,498.0,1649.0,929.0,565.0,688.0,361.0,859.0,578.0,650.0,1211.0,1126.0,648.0,694.0,518.0,685.0,422.0,,751.0,548.0,593.0,413.0,686.0,554.0
1987-88,550.0,551.0,1534.0,997.0,577.0,705.0,365.0,936.0,604.0,638.0,1235.0,1159.0,686.0,751.0,529.0,684.0,409.0,,806.0,589.0,715.0,424.0,735.0,698.0
1988-89,530.0,535.0,1555.0,1006.0,564.0,723.0,382.0,1002.0,617.0,687.0,1231.0,1115.0,768.0,701.0,487.0,683.0,423.0,,826.0,609.0,709.0,390.0,692.0,615.0
1989-90,544.0,567.0,1505.0,990.0,591.0,714.0,413.0,1030.0,632.0,624.0,1251.0,1140.0,795.0,732.0,480.0,722.0,437.0,,781.0,610.0,736.0,395.0,743.0,631.0
1990-91,573.0,583.0,1624.0,1089.0,586.0,768.0,409.0,1023.0,609.0,715.0,1370.0,1137.0,852.0,646.0,526.0,764.0,422.0,,756.0,630.0,757.0,437.0,858.0,603.0
1991-92,546.0,581.0,1728.0,1072.0,652.0,750.0,468.0,712.0,671.0,708.0,1017.0,1082.0,869.0,743.0,540.0,786.0,384.0,,689.0,626.0,734.0,439.0,847.0,608.0
1992-93,533.0,507.0,1759.0,765.0,700.0,685.0,452.0,719.0,658.0,658.0,1059.0,1060.0,831.0,672.0,541.0,735.0,405.0,392.0,688.0,562.0,736.0,459.0,805.0,549.0
1993-94,494.0,527.0,1861.0,669.0,701.0,663.0,498.0,696.0,723.0,681.0,1184.0,919.0,781.0,658.0,545.0,784.0,373.0,516.0,661.0,570.0,776.0,423.0,863.0,503.0
1994-95,515.0,454.0,1744.0,679.0,622.0,644.0,468.0,779.0,751.0,567.0,1139.0,822.0,769.0,657.0,512.0,709.0,368.0,556.0,570.0,466.0,728.0,467.0,841.0,525.0
1995-96,511.0,423.0,1596.0,737.0,630.0,628.0,529.0,646.0,824.0,549.0,1138.0,800.0,795.0,598.0,531.0,778.0,340.0,459.0,489.0,495.0,784.0,473.0,824.0,575.0
