year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment,magnet
"2024","090192001192","Betances Learning Lab Magnet School","CT","Hartford School District","Primary","Regular school","No","398",""
"2024","090192001616","Betances STEM Magnet School","CT","Hartford School District","Middle","Regular school","No","206",""
"2024","090192001534","Breakthrough Magnet School North","CT","Hartford School District","Primary","Regular school","No","289",""
"2024","090192001369","Breakthrough Magnet School South","CT","Hartford School District","Primary","Regular school","No","326",""
"2024","090192001572","Bulkeley High School","CT","Hartford School District","High","Regular school","No","552",""
"2024","090192000357","Burns Latino Studies Academy","CT","Hartford School District","Primary","Regular school","No","251",""
"2024","090192000358","Burr Middle School","CT","Hartford School District","Middle","Regular school","No","259",""
"2024","090192001435","Capital Preparatory Magnet School","CT","Hartford School District","Other","Regular school","No","580",""
"2024","090192001478","Classical Magnet School","CT","Hartford School District","High","Regular school","No","438",""
"2024","090192000360","Dwight-Bellizzi Dual Language Academy","CT","Hartford School District","Primary","Regular school","No","651",""
"2024","090192000366","Environmental Sciences Magnet at Hooker School","CT","Hartford School District","Primary","Regular school","No","547",""
"2024","090192000636","Expeditionary Learning Academy at Moylan School","CT","Hartford School District","Primary","Regular school","No","342",""
"2024","090192001535","Global Communications Academy","CT","Hartford School District","Primary","Regular school","No","414",""
"2024","090192001403","Great Path Academy at CT State Manchester","CT","Hartford School District","High","Regular school","No","336",""
"2024","090192001295","Hartford Magnet Trinity College Academy","CT","Hartford School District","High","Regular school","No","925",""
"2024","090192001643","Hartford PreKindergarten Magnet School: North Campus","CT","Hartford School District","Prekindergarten","Regular school","No","115",""
"2024","090192011231","Hartford PreKindergarten Magnet School: South Campus","CT","Hartford School District","Prekindergarten","Regular school","No","112",""
"2024","090192001925","Hartford Public High School","CT","Hartford School District","High","Regular school","No","698",""
"2024","090192000368","Kennelly School","CT","Hartford School District","Primary","Regular school","No","628",""
"2024","090192011232","Kinsella Magnet School of Performing Arts: High School Campu","CT","Hartford School District","High","Regular school","No","110",""
"2024","090192000370","Kinsella Magnet School of Performing Arts: PK-8 Campus","CT","Hartford School District","Primary","Regular school","No","435",""
"2024","090192000364","M. D. Fox School","CT","Hartford School District","Primary","Regular school","No","562",""
"2024","090192000369","M. L. King Jr. Middle School","CT","Hartford School District","Middle","Regular school","No","184",""
"2024","090192000371","McDonough Middle School","CT","Hartford School District","Middle","Regular school","No","301",""
"2024","090192000381","Milner Middle School","CT","Hartford School District","Middle","Regular school","No","261",""
"2024","090192001641","Montessori Magnet at Batchelder School","CT","Hartford School District","Primary","Regular school","No","346",""
"2024","090192001531","Montessori Magnet at Fisher School","CT","Hartford School District","Primary","Regular school","No","353",""
"2024","090192000372","Naylor/CCSU Leadership Academy","CT","Hartford School District","Primary","Regular school","No","372",""
"2024","090192000373","Parkville Community School","CT","Hartford School District","Primary","Regular school","No","351",""
"2024","090192001479","Pathways Academy of Technology and Design","CT","Hartford School District","High","Regular school","No","359",""
"2024","090192000376","Rawson School","CT","Hartford School District","Primary","Regular school","No","198",""
"2024","090192001582","Renzulli Gifted and Talented Academy","CT","Hartford School District","Middle","Regular school","No","128",""
"2024","090192000026","Sanchez School","CT","Hartford School District","Primary","Regular school","No","311",""
"2024","090192000377","SAND School","CT","Hartford School District","Primary","Regular school","No","266",""
"2024","090192001370","Sport and Medical Sciences Academy","CT","Hartford School District","High","Regular school","No","463",""
"2024","090192000362","STEM Magnet at Annie Fisher School","CT","Hartford School District","Primary","Regular school","No","348",""
"2024","090192001381","University High School of Science and Engineering","CT","Hartford School District","High","Regular school","No","406",""
"2024","090192001939","Weaver High School","CT","Hartford School District","High","Regular school","No","721",""
"2024","090192000383","Webster Micro Society Magnet School","CT","Hartford School District","Primary","Regular school","No","626",""
"2024","090192000384","West Middle School","CT","Hartford School District","Primary","Regular school","No","289",""
"2024","090192000385","Wish Museum School","CT","Hartford School District","Primary","Regular school","No","297",""
"2023","090192001192","Betances Learning Lab Magnet School","CT","Hartford School District","Primary","Regular school","No","411",""
"2023","090192001616","Betances STEM Magnet School","CT","Hartford School District","Middle","Regular school","No","212",""
"2023","090192001534","Breakthrough Magnet School North","CT","Hartford School District","Primary","Regular school","No","318",""
"2023","090192001369","Breakthrough Magnet School South","CT","Hartford School District","Primary","Regular school","No","322",""
"2023","090192001572","Bulkeley High School","CT","Hartford School District","High","Regular school","No","592",""
"2023","090192000357","Burns Latino Studies Academy","CT","Hartford School District","Primary","Regular school","No","228",""
"2023","090192000358","Burr Middle School","CT","Hartford School District","Middle","Regular school","No","307",""
"2023","090192001435","Capital Preparatory Magnet School","CT","Hartford School District","Other","Regular school","No","533",""
"2023","090192001478","Classical Magnet School","CT","Hartford School District","High","Regular school","No","472",""
"2023","090192000360","Dwight-Bellizzi Dual Language Academy","CT","Hartford School District","Primary","Regular school","No","643",""
"2023","090192000366","Environmental Sciences Magnet at Hooker School","CT","Hartford School District","Primary","Regular school","No","567",""
"2023","090192000636","Expeditionary Learning Academy at Moylan School","CT","Hartford School District","Primary","Regular school","No","379",""
"2023","090192001535","Global Communications Academy","CT","Hartford School District","Primary","Regular school","No","437",""
"2023","090192001403","Great Path Academy at MCC","CT","Hartford School District","High","Regular school","No","303",""
"2023","090192001295","Hartford Magnet Trinity College Academy","CT","Hartford School District","High","Regular school","No","934",""
"2023","090192001643","Hartford PreKindergarten Magnet School: North Campus","CT","Hartford School District","Prekindergarten","Regular school","No","119",""
"2023","090192011231","Hartford PreKindergarten Magnet School: South Campus","CT","Hartford School District","Prekindergarten","Regular school","No","117",""
"2023","090192001925","Hartford Public High School","CT","Hartford School District","High","Regular school","No","721",""
"2023","090192000368","Kennelly School","CT","Hartford School District","Primary","Regular school","No","650",""
"2023","090192011232","Kinsella Magnet School of Performing Arts: High School Campu","CT","Hartford School District","High","Regular school","No","118",""
"2023","090192000370","Kinsella Magnet School of Performing Arts: PK-8 Campus","CT","Hartford School District","Primary","Regular school","No","436",""
"2023","090192000364","M. D. Fox School","CT","Hartford School District","Primary","Regular school","No","531",""
"2023","090192000369","M. L. King Jr. Middle School","CT","Hartford School District","Middle","Regular school","No","187",""
"2023","090192000371","McDonough Middle School","CT","Hartford School District","Middle","Regular school","No","346",""
"2023","090192000381","Milner Middle School","CT","Hartford School District","Middle","Regular school","No","278",""
"2023","090192001641","Montessori Magnet at Batchelder School","CT","Hartford School District","Primary","Regular school","No","366",""
"2023","090192001531","Montessori Magnet at Fisher School","CT","Hartford School District","Primary","Regular school","No","353",""
"2023","090192000372","Naylor/CCSU Leadership Academy","CT","Hartford School District","Primary","Regular school","No","370",""
