school_year,metric,category,value,unit,basis,confidence,source,url,locator,note
2002-03,Share of Hartford minority students in reduced-isolation settings,integration_rate,10,percent,Hartford-resident minority students,medium,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,"pie chart, 2002-2003",CONFLICT: the same litigation record is elsewhere summarised as a 17% baseline. Resolve before use.
2003-04,Open Choice enrolment,magnets_choice,809,students,Hartford-resident students,high,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,Open Choice goal-vs-actual chart,"2006-07 figure sourced by the deck to Dougherty et al., Trinity College, 2007. Directly comparable to EdSight Open Choice (2,076 in 2016-17)."
2003-04,Hartford students in NEW host magnets (2003 stipulation),magnets_choice,532,students,Hartford-resident students,medium,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,new magnet enrolment goal-vs-actual chart,"SUBSET ONLY -- counts seats in magnets opened under the 2003 order, not all Hartford magnet enrolment. Do not treat as a magnet total."
2004-05,Open Choice enrolment,magnets_choice,1020,students,Hartford-resident students,high,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,Open Choice goal-vs-actual chart,"2006-07 figure sourced by the deck to Dougherty et al., Trinity College, 2007. Directly comparable to EdSight Open Choice (2,076 in 2016-17)."
2004-05,Hartford students in NEW host magnets (2003 stipulation),magnets_choice,635,students,Hartford-resident students,medium,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,new magnet enrolment goal-vs-actual chart,"SUBSET ONLY -- counts seats in magnets opened under the 2003 order, not all Hartford magnet enrolment. Do not treat as a magnet total."
2005-06,Share of Hartford minority students in reduced-isolation settings,integration_rate,12,percent,Hartford-resident minority students,medium,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,"pie chart, 2005-2006","Excludes Hartford-resident students in magnets that failed the Sheff desegregation standard, so it understates magnet attendance."
2005-06,Open Choice enrolment,magnets_choice,1062,students,Hartford-resident students,high,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,Open Choice goal-vs-actual chart,"2006-07 figure sourced by the deck to Dougherty et al., Trinity College, 2007. Directly comparable to EdSight Open Choice (2,076 in 2016-17)."
2005-06,Hartford students in NEW host magnets (2003 stipulation),magnets_choice,1734,students,Hartford-resident students,medium,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,new magnet enrolment goal-vs-actual chart,"SUBSET ONLY -- counts seats in magnets opened under the 2003 order, not all Hartford magnet enrolment. Do not treat as a magnet total."
2006-07,Share of Hartford minority students in reduced-isolation settings,integration_rate,11,percent,Hartford-resident minority students,medium,"Quick, K. (2016) Hartford Public Schools: Striving for Equity through Interdistrict Programs, Century Foundation",https://tcf.org/content/report/hartford-public-schools/,Expansion of Access section,"Given as 'prior to the revised Sheff agreement in 2007'. A separate summary reports 9% for 2007 -- CONFLICT, verify."
2006-07,Open Choice enrolment,magnets_choice,1070,students,Hartford-resident students,high,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,Open Choice goal-vs-actual chart,"2006-07 figure sourced by the deck to Dougherty et al., Trinity College, 2007. Directly comparable to EdSight Open Choice (2,076 in 2016-17)."
